method,path,controller,action
GET,/default_controller,'welcome',index
GET,/404_override,'errors/page_missing',index
GET,/translate_uri_dashes,FALSE,index
GET,/default_controller,admin.'/Login/index',index
GET,/404_override,'',index
GET,/translate_uri_dashes,FALSE,index
GET,/admin-login,admin.'/Login/index',index
GET,/admin-logout,admin.'/Login/logout',index
GET,/permission-denied,admin.'/Permission/index',index
GET,/admin-dashboard,admin.'/Dashboard/index',index
GET,/list-country,admin.'/Masters/countryList',index
GET,/list-country-ajax,admin.'/Masters/getCountryLists',index
GET,/save-country,admin.'/Masters/saveCountry',index
GET,/edit-country/{param},admin.'/Masters/viewAddEditForm/$1',index
GET,/delete-country/{param},admin.'/Masters/deleteCountry/$1',index
GET,/check-duplicate-country,admin.'/Masters/CheckDuplicateCountry',index
GET,/list-state,admin.'/Masters/view_state',index
GET,/submit_state,admin.'/Masters/submit_state',index
GET,/list_state_ajax,admin.'/Masters/list_state_ajax',index
GET,/check_duplicate_state,admin.'/Masters/check_duplicate_state',index
GET,/delete_state,admin.'/Masters/delete_state',index
GET,/list-city,admin.'/Masters/view_cities',index
GET,/submit_cities,admin.'/Masters/submit_cities',index
GET,/list_cities_ajax,admin.'/Masters/list_cities_ajax',index
GET,/check_duplicate_cities,admin.'/Masters/check_duplicate_cities',index
GET,/delete_cities,admin.'/Masters/delete_cities',index
GET,/list-employment-type,admin.'/Masters/view_employment_type',index
GET,/submit_employment_type,admin.'/Masters/submit_employment_type',index
GET,/list_employment_type_ajax,admin.'/Masters/list_employment_type_ajax',index
GET,/check_duplicate_employment_type,admin.'/Masters/check_duplicate_employment_type',index
GET,/delete_employment_type,admin.'/Masters/delete_employment_type',index
GET,/list-interests,admin.'/Masters/view_interests',index
GET,/submit_interest,admin.'/Masters/submit_interest',index
GET,/list_interest_ajax,admin.'/Masters/list_interest_ajax',index
GET,/check_duplicate_interest,admin.'/Masters/check_duplicate_interest',index
GET,/delete_interest,admin.'/Masters/delete_interest',index
GET,/list-job-type,admin.'/Masters/view_job_type',index
GET,/submit_job_type,admin.'/Masters/submit_job_type',index
GET,/list_job_type_ajax,admin.'/Masters/list_job_type_ajax',index
GET,/check_duplicate_job_type,admin.'/Masters/check_duplicate_job_type',index
GET,/delete_job_type,admin.'/Masters/delete_job_type',index
GET,/list-pay,admin.'/Masters/view_pay',index
GET,/submit_pay,admin.'/Masters/submit_pay',index
GET,/list_pay_ajax,admin.'/Masters/list_pay_ajax',index
GET,/check_duplicate_pay,admin.'/Masters/check_duplicate_pay',index
GET,/delete_pay,admin.'/Masters/delete_pay',index
GET,/list-event-mode,admin.'/Masters/view_event_mode',index
